year,tagline
1970,"  She's holding her baby, she just doesn't know it yet. Don't Pine for the Valley It's More Than A Storyline - It's A Legacy (1995)"
2011,  A late night talk show worth staying up for.
2012,  Time travel has never been so pointless.
2003,"  Marriage, divorce, and everything in between."
1983,  A sweeping saga of one woman's struggle for survival.
2012,  Heroes and villains fight over the last city standing.
2005,  Following show-jumpers across Canada as they battle to win the The Kubota Cup.
2010,"  They knew the risks, but not the truth."
2011,  Impossible is what they do best. Super. But Human.
1999,  Your World Slightly Skewed
1995,"  Did you ever ask yourself, Am I Nuts? ."
2006,  A limitless love conquers all.
1985,  In the extraordinary worlds of Amazing Stories! As one experience ends... Another adventure begins.
2008,  Bruce Parry explores the greatest river on Earth.
2003,"  Making America beautiful, one person at a time."
2010,  News you can use.
1986,  Welcome to the other side
1986,"  The Rise, The Fall, The Resurrection Of Air America Radio"
2006,  Ain't nothing like the real thing.
1988,  America's Most Wanted is where America Fights Back
1988,"  Remember, you can make a difference!"
2008,"  An insightful biography of one of America's most innovated directors, shoot one the set of GoodFellas."
1985,"  In 1958, when Sam Cooke crossed over from gospel to popular music, he ran the risk of alienating his gospel fans by embracing the devil's music. Instead, he set in motion a chain of events that altered the course of popular music and race relations in America."
1985,  The Wit and Legend of the Algonquin Round Table
1985,  Comedy is easy. Dying is hard.
2000,  UPN 69's Music variety show mixing up videos and celeb interviews with a DJ style.
1981,"  A young boy. A mysterious stranger. A summer of dreams ... Imagine a summer that would never end; imagine a boy who would never grow up; imagine a small town, the kind you don't find anymore ... Enter a mysterious stranger."
1981,"  They want to control his mind but can't even find his body. Caught in a future world, his only escape is back in time."
1981,  The true story of one man who made a difference.
2012,  American Female Action Challenge Reality Show Magnificent Mimi
1987,  1997. The world is different. The dream is the same. Let freedom ring.
2001,  Â°y tu de que lado estas?
1995,  A zany look at the antics of urban muslim family
1995,  El Amor TacarÂ· tu Puerta (The Love Will Touch your Door)
2001,  Vivala Intensamente.
2010,  From Fabulas Fabulosas by MillÃ™r Fernandes
2005,  Marriage as an Adventure
2005,"  Anatomy is not a scientific theory or a political fashion. It doesn't change from year to year and its position as the bedrock on which modern medicine has been built doesn't alter. It is, quite simply, the study of the way we are made."
2008,  Three unusual and compelling stories exploring how sexuality and the body work as driving forces in the creative process.
2006,  Rise and Fall of an Empire
1998,  History's secrets unveiled.
2010,  Unleash Your Personal Style...Andaaz
2003,  Keeping Them Honest Where the World comes full circle.
2006,"  Life is a journey, so andiamo!"
2000,  Worlds Apart from the Rest
2010,"  It might be like your childhood, but probably worse."
2010,  1-2-3-4-5-6-7 All Good Children Go To Heaven (They Wish)
1999,  Live fast. Die never.
2009,  There's a magic world around you
2006,  Looks like an angel. Sings like an angel. Parties like a rockstar!
2006,  Meet the FBI's best lie detector
2003,  The messenger has arrived.
2012,  Everyone deserves a 24th chance.
2009,  The Story of Life on Earth is a Disaster The End is only a Beginning
2006,  Animal Attractions TV is a testimony to the deep affection people have for their pets.
2008,  Help is on the Way!
1997,  It's not just an adventure... It's a ZOOventure!!!
2012,  It's quite an operation.
2001,"  New York City... 8 million people... 5 million pets... 15 animal cruelty agents with full police powers... Welcome, to the Animal Precinct"
1987,  The Three Musketeers in Anime! One for all! All for One!
2012,  A dark age for one is a golden age for another.
2013,  All happy families are alike. But every unhappy family is unhappy in its own way.
2011,  Good Cooking Is Child's Play!
2001,"  There is more to hiding than keeping quiet. The hiding was only the beginning She was 10 when the war began. She was 15 when she died and became one of the most remembered children of the holocaust. There's more to the diary then what meets the eye. When the war began, she was only a little girl. When it ended she was the voice of a generation. The end of hiding wasn't the end of her story. There's more to her story than you ever imagined."
2008,  Senior Citizen Dating Show
2012,  What do you do when your dreams are bigger than you are?
1964,"  We do not live in this world alone, but in a thousand other worlds..."
2005,"  Be a traveler, not a tourist."
2010,"  A journey from within the tribes, parties and events in experimental music."
2012,  Discover America One Piece at a Time
1997,"  Discovering America's Hidden Treasures Part adventure, part history lesson, and part treasure hunt."
1998,  Two different lives. One incredible friendship.
2005,"  Been there, done that, still dreaming about it..."
2008,  The world changed and so did they. Introducing a new generation searching for love and belonging in the post 9/11 age.
2008,  It's a five-minute talk fest!
2007,  Celebrities explore the creative process of today's top photographers.
2010,  The World Ends...
2009,  A Half a Billion Years is a Long Time
2007,"  Seven girls, two flats, a whole deal of trouble..."
2011,  Your Ultimate App Guide
1997,"  Living in the East Village - like the Sklar twins - means weird people stop by. Oh, they ARE the weird people!"
2010,  Get locked in ... to Apt1B.
2005,  Keeping The Planet Green and Blue
2000,"  Is a black shake a mistake? Number 1 in the hood, G! Dancing is forbidden!"
2012,  Four friends travel the world exploring the people and places rising to power.
2003,  The Search for America's Sexiest People
2012,"  Life, straight up or on the rocks? Being bad never felt so good."
2000,  Life ends...
2005,  Authority in Entertainment News!
2006,  What really goes on in hospitals
2010,  Real reviews by real filmmakers.
2007,  The Army Has Its Code. The Wives Have Their Own.
2002,"  The Show that Scores the Argument The show of competitive banter. Ten topics, just one winner"
2004,  Come and experience Tippi's world!
2003,  Get Arrested Now the story of a wealthy family who lost everything and the one son who had no choice but to keep them all together. I have made a huge mistake The final countdown begins. (Season 4) We've Unmade a Huge Mistake. (Season 4)
2012,"  Destiny leaves its mark A heroic future forged by a tortured past. Innocent and not guilty are two different things. His death was just the beginning. A Hero Will Rise Mess with his friends and he may snap Those closest to you can hurt you the most. The past has prepared him One more will discover who hides under the hood In the secret war on Starling, he is the city's only weapon. This disaster has his family name all over it."
2005,  A television show about artists
2001,  Uncovering the most influential film in history
2003,  The Greatest adventure is inner
2008,"  The hurricane may be over, but the real storm is just beginning"
2008,  Nature has its own brand of justice.
2012,  Two Dreams. One Reality.
2009,  Flight attendant Dania on her quest to become a perfect woman
2006,  These movies are awesome.
2010,"  Nerdy girls need love, too."
2012,  Who would have thought being friends with Jesus could have been this much fun?
2011,  We put the awkw in awkward.
2013,  Covering the Game of Life
2002,  School goes crazy
2005,"  B in tune, stay in tune The show for FOR and ABOUT kids, teens and their MUSIC."
2010,  This girl has a big dream...You won't believe what it is!
2008,"  The action. The mystery. The lesbians. B.J. Fletcher, Private Eye is on the case!"
2002,  When Baby Bob opens his mouth... you won't believe what you'll hear!
2012,  Time to Dad up.
2007,  A life of crime can last forever...
1986,  Helpful tips on scoring chicks!
2006,"  Before the Deals, Before the Fame -- Just the Game..."
2013,"  Ticket, please?"
2007,  The news has hit the fan.
2012,  Where the stories you never heard live alongside the games you never miss.
2012,"  One Camera, Two Starlettes, Anything Goes...."
2011,  Sharing is Caring.
2012,  Bad Decisions. Great videos.
2011,"  A woman's life is hell, pretty hell. A camera with a bad attitude comes to life!"
2006,  Bad never looked so good
1999,"  Behind bars, anything can happen! Bribery, corruption, rape... and that's just the screws! Trust no one"
2009,  Whoever said love had to be good?
2011,  Vern would just like to eat his lunch. That does not happen.
2010,  Bad Movies...Bad Ass Reviews.
2010,  Sometimes casting a show is show enough.
2000,  Two blokes. One sofa. No script.
2011,  Bade Acche Lagte Hain - Ek Nayi Shuruat
2004,  Taste Sweet Love
2011,  Beware the lake.
2013,"  Mars, mamka mou!!!"
2009,  Voice of the Next Generation
2013,  Everybody's Got a Story
2006,  What is the true face of love?
2001,"  The three Bs - Brutal, bone crushing, Baki! Grappler gets game, Gripper gets Gruesome! Confident Champion Cruelly Crushes Competition! Dapper Doppo's destiny: Deal damage! Paranoid Parent Prepares Patriarchal Pounding! Bizarre behavior bends Baki's brains! Buren's brilliance brings a baffling breakthrough. Gigantic jerk Jak jinxes japery!"
2007,"  Let's Brawl! One game, one goal, two worlds! A combination battle!"
2004,"  The good, the bad and the beautiful. These girls are on fire!!!"
2002,  Let it Rip!
2003,"  A kind of despair casting a shadow over one's heart, unable to struggle. Love is only perfect when it has regrettable imperfections"
2004,  Appeeling Comedy for the Whole Family
2012,  Up-and-coming bands compete head to head for the title of Band Champion.
2001,  They depended on each other. And the world depended on them. There Was A Time When The World Asked Ordinary Men To Do Extraordinary Things. Ordinary men. Extraordinary times.
2007,"  It's crime and comedy, caught on tape!"
2000,  ...Where the cons act like pro's
1989,"  Nicole Kidman stars as Katrina, a young Australian woman whose very life is threatened by the deception of a man she loves From the captivity of her childhood, the ultimate prison awaits"
2013,  Small Town. Big Secrets.
2010,"  If you have a Barack Obama's Cousin's Card, everything works out."
2013,  Four bartenders take off across the country in search of the ultimate bar experience
1974,  One of the Funniest Police Shows Ever One of the Funniest Police Comedies Ever!
1988,  The dog with stars in his eyes!
2011,"  Decatur, Illinois First Horror Host"
2005,"  In the fight for Shogun, the slaughter continues! No mercy will be spared to the enemy. My Beloved ..... Prepare To Die!"
2005,"  The Next Generation, Hunting and Fishing and Loving the Outdoors"
2013,  A boy's best friend is his mother.
2006,  Passion. Desire. Persistence.
1999,  A New Hero For A New Era Justice Returns To Gotham
1992,  The Legend Begins Tales Of The Dark Knight Out Of The Shadows.
2000,  You have the right to remain laughing!
2010,"  Justice perfected, become absolute!"
2011,  He gained control of their dreams...to gain control of their minds.
2009,  The battle is back. See what happens when two worlds collide.
2006,  It's survival of the smartest.
2009,  History's biggest battles brought to life like you've never seen them before.
1978,"  They were searching for a star called Earth, but first they had to win a great war. Two years in the making...Presented at a cost of $14,000,000. A billion light years from Earth the human race is fighting for survival The super-reality of SENSURROUND takes you into an intergalactic war...Experience the sensation of laser beams, space explosions and battlestar attacks...all in Academy Award winning SENSURROUND."
2003,  Never create what you can't control. They look like us. They act like us. They want to destroy us. The threat of a new Cylon Empire is about to begin...
2004,  The fight to save humanity rages on. Where will you stand? Destiny is not what it seems. The world is over. The fight has just begun.
1991,  Sex. Drugs. Murder. Boston University's Guiltiest Pleasure Where Your REAL College Education Begins
2009,  Surprising stories from where you live.
2010,  The life of Emily Hobhouse
2010,"  A detailed, insightful portrayal of our endangered relative."
1997,  Explore the history of British Columbia through historical footage and fascinating interviews.
2010,  Bad Has Never Been So Good for Skating's Favorite Drama Queen.
2013,"  Do you know how many teens, young adults and women struggle with the courage to make the right choices and find their own voice? Fearless Tips from Brooke Lewis"
2010,  Escape to a City on the Sand
1996,  The Transformers story continues in the acclaimed sequel!
2001,"  You teased them in school, threw spitballs at them and gave them atomic wedgies. Now it's their turn."
2005,  Bright lights. Dark secrets.
2008,  This is not your average family sitcom because the Doonans are not your average family.
2008,  Looks Matter
1987,  Once upon a time is now...
2012,  How brave is your love?
2009,  The Ultimate Australian Social Experiment
2007,  An alternative style of comedy.
2003,  Taxi cab confessions in a salon
1998,  Synchronizing Beauty
1993,  Scrooge you!
2012,  This is What Happens When the Camera Stops Rolling
2011,  Just another hideous day in paradise.
1997,  Han vet att det har begÃ‚tts ett brutalt mord. Hans enda spÃ‚r â€°r en kodad adress pÃ‚ Internet frÃ‚n en man som kommer att mË†rda igen och igen...
2004,  The time for legends. Starting a band is never easy. Time to hit the glittering stage! Maybe music is bigger than luck or destiny.
1998,"  His bedside manner is no manners at all! He's only human... sometimes. This doctor feels your pain, he just doesn't want to hear about it."
2010,  Mass Participate Television
2011,"  A ringside seat to the acting world, and all the lovable and maddening things in it."
2011,"  Hollywood, It's a Bitch!"
2011,  Everyone Has a Dark Side. What terrifying secrets lie within these walls?
2007,  Conventional and Alternative Medicine go head-to-head.
2012,  Greta & Phil. Married for 10 years. He's out of a job. She's out of pills. If they can't sort it out at bedtime... will they ever?
2012,  Three friends. Making their first feature. One misdemeanor at time.
1999,  Side by side. Neck and neck. And always behind your back.
2012,  We've got nothing to lose
2006,  Inspiration lies behind the lyrics; aspirations live beyond them
2008,  Are You Ready For Some Paintball?
2013,  It's not a costume. It's a calling.
2012,  Being gay is just the beginning
2009,  Life. Altered.
2011,  Being human is harder than it looks.
2013,  This is a weekly podcast from the people by the people.
2002,  Rik Mayall is A. Cnut
2004,  The Story of the Israeli Entertainment and Humor
2005,"  An alter ego for every occasion. One part kid, 10 parts hero! Everyone Has A Secret, This Kid Has 10"
2011,  Two Little Guys Taking on One Big World. Best Friends. Bitter Enemies.
2010,  Adventure of the Saiylors Death of a Hero The Saiylors are coming
2012,  His sister. Her daughter. Who's raising who? Picture the perfect family. They're not it.
2010,  What Obama Means to America
1992,  Uncut! Uncensored! Off The Hook!
2012,  Some people just don't have a filter. And then there's Bethany.
2009,  Better Life...Better You Our Lives. Our Families. Our Choices.
2009,  They're Putting Comedy To Work
2010,"  If we can't teach you how to pretend to act, nobody can!"
2008,  America's Best Christian
2013,"  Before there were bullets, there were fists!"
1999,  Get wild about reading
2009,"  Where The Hair cuts Are Pricey, But The Drama Is Free"
1990,  New faces and dangerous places!
2009,"  Hollywood. Beverly Hills. Pick a side. Mob wars are life and death. Words that mean different things in different places. Assassination isn't the only game people play. Prey upon the weak, fawn upon the strong... Hey, it's a jungle out there."
1968,  The TV Show About TV
2013,"  When life falls apart, direct a web series."
2006,"  Under Executive Order 13292, the Unites States classifies government information as Confidential, Secret, Top Secret. Then there's Beyond Top Secret."
2002,  Think your job is tough?
2005,  The Answers
2001,  She who lies beside a beast will surely die.
2008,  Fun comes in all shapes and sizes
2012,  What if your agent was the biggest douche bag in town?
2000,  Who's watching you?
2000,  Who's watching you? Who goes? You decide!
2000,  NO Privacy You ain't seen nothing yet (Big Brother 2001)
2001,"  Big Brother is Watching You Ever get the feeling you're being watched? Back to basics... Except for one small secret Assume Nothing, Expect Anything"
2011,  The pain of country music. The passion of country heart.
2007,  Innovators on the leading edge of a new green world.
2006,  Polygamy Loves Company Do you think that being married with 3 women is a dream? Think again!
2011,  Everything comes to light.
2011,  Tune in tomorrow morning to see what all the buzz is about! A morning show for people who don't like mornings.
2008,  Everybody Has A Dream
2001,  Probe Today's Most Brilliant Minds
2009,  This is your all-access pass to the ultimate concert event!
2003,"  If you're crazy enough to do it, America wants to see it!"
1980,  It's Always Fun Under The Big Top!
1998,"  Like reality, only better!"
2006,"  Let's Rock n Ride! In this wild and woolly universe there's only three things you can count on. Your brains... your bros... and your bikes! Ride Free, Citizens! Let's Rock And Ride!"
2006,"  In a world where religion is poison to some and salvation to others, how do we live together?"
2011,  The Big Yin takes the ultimate road trip
2012,  To live outside the law you must be honest.
2010,  Daniel B Pitt aka Binky is a man on a mission.
1999,  100 People - 1000 Years
1987,  Who was The Great Lover...and how did The Great Lover become a legend?
2010,  Better Than New... Better Than You!
2007,  Better. Stronger. Faster. Currently under construction.
2002,  Batman's Little Girl Is All Grown Up. Meet The New Batgirl.
1998,  A Sitcom in the Trees
2006,"  They're Back. We're Sorry. A show about life, love, and world domination."
2010,  3 Friends. 1 Outbreak. No Continues.
2013,  Life happens around food. This is a show about that. We're simple and kind of sassy. Get some every other Sunday.
2012,  David Gunning is...Bitter Bartender. The Customer is Never Right.
2011,  Welcome to Smiley's Family Restaurant and Bar where we'll make you grin again and again.
2008,  Where kids teach kids about business
1987,  Macbeth! Sausage!
2012,  Meet America's new favorite odd couple.
2006,"  The story of life and death colored by black and red, and the vampires that transcend them begins. You'll be the witness of the legend of bloody race living in the shadow."
2005,  A happy ending requires more than just good luck.
2001,  She's bold. She's beautiful. Her sting is deadly.
2004,  Two Women form a Los Angeles based Dating Service
2011,  The Sky is the Limit!
1986,  The original may be dead... but now his bastard great-great grandson swaggers around Renaissance London with a big head and a small beard.
2008,  Where low tech meets high expectations.
2010,  Turn on the dark.
2012,  The Blackout is real!
2010,  You can run... but that wouldn't be smart.
1977,  Get Ready To Match The Stars!
2004,  Possessed! Break through the Seireitei wall. Charge towards the Soul Society! Enter the Shinigami enforcers! Attack of the Hollows! Unrest in the Seireitei. Experiments of the dead kind! Charge! Sneak entry into the Soul Society! The Bount Assault continues.
2009,  Blood = Life
2009,  The gang who shocked Denmark
1995,  A comedy the whole freakin' family will love.
2010,  Blessed and Talented Soul Ministries
2005,  Blinded in the line of duty. His partners don't respect him. His wife lacks faith. Nobody believes in Jim Dunbar except himself. He lost his sight...not his vision.
1978,  A murder without a victim.
2013,  A Sci Fi web series in the tradition of capeless super heroes.
2009,  The dramatic and often comical relationships between a colorful group of tenants in an apartment building in Nairobi's Kalifornia estate.
2007,  A game of videoblog survival
2001,  Imagine if Marilyn Monroe could tell you her secrets... tonight she will.
2012,  Blood Brothers: Can You Really Trust Your Family?
2012,"  A world of darkness, a world of terror...a world of absolute crack."
2011,"  When there are no good guys, who do you trust?"
2010,"  It's NOT about Vampires, it's about people who happen to be Vampires The Lighter Side of Death"
2009,  Who are the Irish and where do they come from?
2006,  A Crime Series with Bite.
2011,"  An exploration of women, feminism and horror films"
2011,  Grow up already.
2011,"  To keep our lands green, and our skies and our water blue."
2004,  America's hardest working comedy!
1994,"  For cops in Mt Thomas, life's about more than the badge."
